mae_mean,rmse_mean,rsq_mean,territorial_authority,category
9.035187387466431,11.03180958060836,0.10858763722711755,Far North District,All buildings
8.855633370081584,10.894165938040732,0.14122924697958844,Far North District,All construction
0.3612552377170303,0.8211152692094926,0.08569149680588921,Far North District,Apartments
4.570975347784245,6.602619430645417,0.08266557602528508,Far North District,"Apartments, townhouses, units, and other dwellings"
0.8417198649711078,1.0072089498990249,0.09621102688066491,Far North District,Commercial buildings
7.685989952087402,9.640749633452256,0.12332311645582462,Far North District,Dwelling units
0.6441675129113719,0.8112766431272626,0.08756035160968889,Far North District,Education buildings
0.5655334998510726,0.7253022368850549,0.08791579995972114,Far North District,Factories and industrial buildings
1.1036642932436533,1.368187627003766,0.1278764186356519,Far North District,"Factories, industrial, and storage buildings"
2.707105565071106,3.381741470278731,0.09224789915337808,Far North District,Farm buildings
0.29075199158194465,0.3992167983427084,0.11944932980644346,Far North District,"Hospitals, nursing homes, and other health buildings"
0.14051954951254098,0.21610916571217328,0.10233400018342449,Far North District,"Hostels, boarding houses, and prisons"
0.5275592070370395,0.6797812912978045,0.051542000101246675,Far North District,"Hotels, motels, and other short-term accommodation"
0.6476986982976086,0.8022223969604569,0.06879609761350701,Far North District,"Hotels, motels, boarding houses, and prisons"
5.943271176020304,7.349343331312499,0.055285708777000855,Far North District,Houses
3.1232584873835245,3.7951706054627836,0.06801252433260298,Far North District,Non-residential buildings
0.43182461763369956,0.563138621580316,0.07303485336089684,Far North District,"Office, administration, and public transport buildings"
7.660781680213081,9.632701147448373,0.1506024384898503,Far North District,Residential buildings
3.614237854778973,5.33429611531815,0.14606173882964224,Far North District,Retirement village units
0.6139429663012076,0.7566153544751615,0.0809330341414772,Far North District,"Shops, restaurants, and bars"
0.6406017353344294,0.7926090660034951,0.03772511709883009,Far North District,"Social, cultural, and religious buildings"
1.0036523356697418,1.237928066309154,0.11781531688161981,Far North District,Storage buildings
2.3200052816576013,3.717940370554696,0.08752801142696173,Far North District,"Townhouses, flats, units, and other dwellings"
6.255707316928439,8.878345326734285,0.09601867398600608,Gisborne District,All buildings
6.26285150580936,8.87180823825546,0.0718543935545565,Gisborne District,All construction
1.2071892505063033,1.844657117872632,0.015426909167605314,Gisborne District,Apartments
4.048234763762189,6.133612408276424,0.06850048905095987,Gisborne District,"Apartments, townhouses, units, and other dwellings"
0.581981605654841,0.7504498594895778,0.05873846668332659,Gisborne District,Commercial buildings
5.121332118246291,7.358681302213254,0.12558226676400502,Gisborne District,Dwelling units
0.6432194712277528,0.8040644174252393,0.04283934306085775,Gisborne District,Education buildings
1.038286882865941,1.260430632346435,0.1043736564843655,Gisborne District,Factories and industrial buildings
1.2505474807409984,1.5375100273115183,0.060495150642976,Gisborne District,"Factories, industrial, and storage buildings"
1.5351513812111484,1.8995024554292919,0.09213336281218018,Gisborne District,Farm buildings
0.2677282341548966,0.40505739726955775,0.06510208400462708,Gisborne District,"Hospitals, nursing homes, and other health buildings"
0.12236598254760368,0.1916178567312751,0.01914029502833551,Gisborne District,"Hostels, boarding houses, and prisons"
0.18933998430162421,0.29596776213872644,0.20167840537310258,Gisborne District,"Hotels, motels, and other short-term accommodation"
0.22963367594161688,0.3353209479486748,0.1088359934897013,Gisborne District,"Hotels, motels, boarding houses, and prisons"
2.6709654053052265,3.3910630359550655,0.09317482145187844,Gisborne District,Houses
3.1193263471126556,3.7849384354124953,0.08100229530497946,Gisborne District,Non-residential buildings
0.4146675502939413,0.5565159568604628,0.06562062615600205,Gisborne District,"Office, administration, and public transport buildings"
5.050394761562347,7.28991650818622,0.1204201680230886,Gisborne District,Residential buildings
2.282745231713432,3.9295622480307095,0.11525730475472454,Gisborne District,Retirement village units
0.3782913095317781,0.5028005999278167,0.08758112664221464,Gisborne District,"Shops, restaurants, and bars"
2.346445552605049,2.9872633202625547,0.11517649384234709,Gisborne District,"Social, cultural, and religious buildings"
0.5724157941398315,0.7281773307189755,0.09909827500742843,Gisborne District,Storage buildings
2.1888525814096083,2.9190256687981937,0.10478102797511604,Gisborne District,"Townhouses, flats, units, and other dwellings"
27.70377525753445,34.698979716188695,0.10923645686174695,Hamilton City,All buildings
27.623526679144966,34.58006590620438,0.10550753094993669,Hamilton City,All construction
7.689964615408745,10.061599318774967,0.07080459359997453,Hamilton City,Apartments
21.929651929272545,27.163120769038702,0.10666796805950844,Hamilton City,"Apartments, townhouses, units, and other dwellings"
1.3561411579036051,1.7204641447325677,0.04637984104397834,Hamilton City,Commercial buildings
27.55700593524509,34.057459828682006,0.10514740093539025,Hamilton City,Dwelling units
0.9435166719013877,1.1619012067780843,0.10315328389614649,Hamilton City,Education buildings
1.0415196891925815,1.2676501763729795,0.09459148832672437,Hamilton City,Factories and industrial buildings
1.428478063808547,1.7458254441136176,0.11894239476701371,Hamilton City,"Factories, industrial, and storage buildings"
0.3066126217198972,0.45222072315574646,0.06971423729636551,Hamilton City,Farm buildings
0.6070905230564272,0.7571026500981621,0.09953818851395406,Hamilton City,"Hospitals, nursing homes, and other health buildings"
0.27088252663937357,0.42206875417504924,0.07434866935086021,Hamilton City,"Hostels, boarding houses, and prisons"
0.358002143318946,0.46961178305463,0.11318635214907506,Hamilton City,"Hotels, motels, and other short-term accommodation"
0.45121699116942987,0.5471374608954452,0.14502257677800182,Hamilton City,"Hotels, motels, boarding houses, and prisons"
14.467538091871473,17.149280192432947,0.0976002453738582,Hamilton City,Houses
2.336754152509901,2.887705287740763,0.11339847597813615,Hamilton City,Non-residential buildings
