mae_mean,rmse_mean,rsq_mean,territorial_authority,category
3.6536514202753705,4.502068192464116,0.07126032897500507,Carterton District,All buildings
3.6300906989309523,4.550387248904519,0.06917801328223354,Carterton District,All construction
0.08908583854653164,0.30858273972236827,NA,Carterton District,Apartments
1.5607544792104615,2.2288549121778756,0.06793435045034663,Carterton District,"Apartments, townhouses, units, and other dwellings"
0.30793418110956233,0.4486751441540538,0.06547088404117687,Carterton District,Commercial buildings
3.1165090799331665,3.870968780374726,0.05212202485010679,Carterton District,Dwelling units
0.10570705516515919,0.18448388363411972,0.013439345453297018,Carterton District,Education buildings
0.5198536978790799,0.7065310895708241,0.0782024110148213,Carterton District,Factories and industrial buildings
0.6641147631821999,0.8120257750929241,0.10468010532978951,Carterton District,"Factories, industrial, and storage buildings"
1.451904454992877,1.7530488751059436,0.15894548764839472,Carterton District,Farm buildings
6.234274554928199e-12,6.234274554928199e-12,NA,Carterton District,"Hospitals, nursing homes, and other health buildings"
0.054027656525783674,0.10940084369869713,0.010540816289519202,Carterton District,"Hostels, boarding houses, and prisons"
0.08131141127487354,0.1760931215601893,0.06245779406096884,Carterton District,"Hotels, motels, and other short-term accommodation"
0.09914569273232575,0.20590629141032685,0.04773607212093179,Carterton District,"Hotels, motels, boarding houses, and prisons"
2.6375086128711698,3.2214967546209508,0.08786640952696742,Carterton District,Houses
1.5824290389815967,1.93396470230569,0.08531233654121041,Carterton District,Non-residential buildings
0.1431899470468462,0.24613037995646853,0.04791313109119188,Carterton District,"Office, administration, and public transport buildings"
3.1749547686841755,3.891764665338547,0.056624947152326556,Carterton District,Residential buildings
0.14473976062526253,0.3764470435865952,0.0035655693279637835,Carterton District,Retirement village units
0.19041141764104239,0.3289069755914739,0.038273712323546726,Carterton District,"Shops, restaurants, and bars"
0.06913769782119597,0.13515970410266614,0.036943120160302725,Carterton District,"Social, cultural, and religious buildings"
0.3435470754699408,0.49025857055606364,0.06967840974934243,Carterton District,Storage buildings
1.4609787212416347,2.022008750072145,0.08593526323430549,Carterton District,"Townhouses, flats, units, and other dwellings"
9.18935162756178,11.257608609586656,0.130616067041554,Far North District,All buildings
9.21021384663052,11.241373263845592,0.12336252836598072,Far North District,All construction
0.3411776321043711,0.7745518914422288,0.011198684843318686,Far North District,Apartments
4.782334041114275,6.894527315100524,0.0940824692423786,Far North District,"Apartments, townhouses, units, and other dwellings"
0.8285871516137073,0.9977222977513811,0.08239627344202802,Far North District,Commercial buildings
7.649369155036078,9.609165998959435,0.1408585262583468,Far North District,Dwelling units
0.6418533084267336,0.810610661082235,0.059205228117517425,Far North District,Education buildings
0.5626761881576385,0.7342824877524873,0.07958889749864533,Far North District,Factories and industrial buildings
1.1497896765462225,1.407829761341593,0.1218135783674524,Far North District,"Factories, industrial, and storage buildings"
2.706883184777366,3.334280662738137,0.055409148530926815,Far North District,Farm buildings
0.3075996202115574,0.42269907847398513,0.07672321630386747,Far North District,"Hospitals, nursing homes, and other health buildings"
0.15151893214318735,0.2329351798360859,0.03093792242030865,Far North District,"Hostels, boarding houses, and prisons"
0.5192728548355969,0.6746915016936371,0.06261969308728903,Far North District,"Hotels, motels, and other short-term accommodation"
0.6313988401903771,0.7876217438641638,0.05919014258474221,Far North District,"Hotels, motels, boarding houses, and prisons"
6.043221876356337,7.421285048637838,0.052343784266312345,Far North District,Houses
3.1399401585261026,3.7749212790412767,0.07674379684557732,Far North District,Non-residential buildings
0.4295423943025526,0.5656237003547993,0.051555324489058474,Far North District,"Office, administration, and public transport buildings"
7.646478827794393,9.61652111573089,0.1582679594781781,Far North District,Residential buildings
3.5057839053951505,5.234142126400405,0.1191156881554105,Far North District,Retirement village units
0.5958789073577565,0.7404297353762697,0.07320922178326145,Far North District,"Shops, restaurants, and bars"
0.6323976298949371,0.787799614571799,0.029093011755618205,Far North District,"Social, cultural, and religious buildings"
1.0264206033510466,1.2527072669709756,0.128593965396237,Far North District,Storage buildings
2.4158217299056965,3.8355907111322316,0.0858042338613281,Far North District,"Townhouses, flats, units, and other dwellings"
6.240324865447151,8.914125969507978,0.08893517878796807,Gisborne District,All buildings
6.266185016102261,8.896136089196613,0.0871617398517688,Gisborne District,All construction
1.1492726077380933,1.8083556587172296,0.025311079650423493,Gisborne District,Apartments
4.031488345258145,6.137485388053202,0.08476790857875816,Gisborne District,"Apartments, townhouses, units, and other dwellings"
0.5822026026254106,0.7428684340462836,0.05449344817322088,Gisborne District,Commercial buildings
5.084837226072947,7.343027117195643,0.1105043846106234,Gisborne District,Dwelling units
0.65943700856167,0.8198150921388369,0.05865995603070437,Gisborne District,Education buildings
1.038847771918194,1.2553529883808012,0.09894986001042111,Gisborne District,Factories and industrial buildings
1.2784694139949149,1.5570001986420097,0.05321450795868548,Gisborne District,"Factories, industrial, and storage buildings"
1.5614907997349898,1.9425372732694963,0.060479739085404834,Gisborne District,Farm buildings
0.2639802856944395,0.40012345849672176,0.056449430954688684,Gisborne District,"Hospitals, nursing homes, and other health buildings"
0.13545623235352652,0.200854544103257,0.019375623061181412,Gisborne District,"Hostels, boarding houses, and prisons"
0.1777263526317736,0.2898315618069329,0.18362012860103627,Gisborne District,"Hotels, motels, and other short-term accommodation"
0.23193067498810807,0.3392245541558609,0.1389601699751431,Gisborne District,"Hotels, motels, boarding houses, and prisons"
2.6110825028684403,3.3624293732681187,0.09256055779074357,Gisborne District,Houses
3.1596823745303686,3.845221988301848,0.08037128481689662,Gisborne District,Non-residential buildings
0.4083225852900392,0.552127788501622,0.06848351496608455,Gisborne District,"Office, administration, and public transport buildings"
